Country,Province,Partner,Funded_By,Program,Year
Afghanistan,Herat,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Herat,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Herat,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Herat,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Herat,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Badghis,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Badghis,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Khost,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Khost,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Khost,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Khost,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Khost,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Loghar,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Loghar,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Helmand,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Shelter and Settlements,2016
